date,search
2019-06-28,37.34643
2019-06-29,52.2113
2019-06-30,36.36363
2019-07-01,20.14742
2019-07-02,28.99262
2019-07-03,33.04668
2019-07-04,26.90417
2019-07-05,39.55773
2019-07-06,51.7199
2019-07-07,33.04668
2019-07-08,26.65847
2019-07-09,28.50122
2019-07-10,33.16953
2019-07-11,29.60687
2019-07-12,51.10565
2019-07-13,48.89434
2019-07-14,37.22358
2019-07-15,23.71007
2019-07-16,33.53808
2019-07-17,30.22113
2019-07-18,33.41523
2019-07-19,40.29484
2019-07-20,44.22604
2019-07-21,34.02948
2019-07-22,36.36363
2019-07-23,33.04668
2019-07-24,28.99262
2019-07-25,32.67813
2019-07-26,33.53808
2019-07-27,42.26044
2019-07-28,39.80343
2019-07-29,30.34398
2019-07-30,35.25798
2019-07-31,27.64127
2019-08-01,35.99508
2019-08-02,42.87469
2019-08-03,51.2285
2019-08-04,37.22358
2019-08-05,31.32678
2019-08-06,29.85257
2019-08-07,32.67813
2019-08-08,45.57739
2019-08-09,42.62899
2019-08-10,49.87714
2019-08-11,43.61179
2019-08-12,26.41277
2019-08-13,30.22113
2019-08-14,38.20638
2019-08-15,34.02948
2019-08-16,38.57493
2019-08-17,46.92874
2019-08-18,40.17199
2019-08-19,30.46683
2019-08-20,32.55528
2019-08-21,33.41523
2019-08-22,33.04668
2019-08-23,38.69778
2019-08-24,47.05159
2019-08-25,36.97788
2019-08-26,27.14987
2019-08-27,32.92383
2019-08-28,28.25552
2019-08-29,27.39557
2019-08-30,39.31203
2019-08-31,53.4398
2019-09-01,40.41769
2019-09-02,21.37592
2019-09-03,21.86732
2019-09-04,19.77886
2019-09-05,21.25307
2019-09-06,33.04668
2019-09-07,26.28992
2019-09-08,33.41523
2019-09-09,34.15233
2019-09-10,23.46437
2019-09-11,25.55282
2019-09-12,27.64127
2019-09-13,30.71253
2019-09-14,40.90909
2019-09-15,38.32923
2019-09-16,21.00737
2019-09-17,22.23587
2019-09-18,26.90417
2019-09-19,31.57248
2019-09-20,45.57739
2019-09-21,54.29975
2019-09-22,28.00982
2019-09-23,26.53562
2019-09-24,25.06142
2019-09-25,28.62407
2019-09-26,31.32678
2019-09-27,44.96314
2019-09-28,62.65356
2019-09-29,40.66339
2019-09-30,28.13267
2019-10-01,30.34398
2019-10-02,32.92383
2019-10-03,43.61179
2019-10-04,44.10319
2019-10-05,52.82555
2019-10-06,35.01228
2019-10-07,22.85012
2019-10-08,34.88943
2019-10-09,40.04914
2019-10-10,27.88697
2019-10-11,44.59459
2019-10-12,62.16216
2019-10-13,44.47174
2019-10-14,27.27272
2019-10-15,31.20393
2019-10-16,26.78132
2019-10-17,28.37837
2019-10-18,39.18918
2019-10-19,53.1941
2019-10-20,34.52088
2019-10-21,26.28992
2019-10-22,21.13022
2019-10-23,30.71253
2019-10-24,38.69778
2019-10-25,53.1941
2019-10-26,83.29238
2019-10-27,47.54299
2019-10-28,31.44963
2019-10-29,31.20393
2019-10-30,46.56019
2019-10-31,82.55528
2019-11-01,58.96805
2019-11-02,65.72481
2019-11-03,34.02948
2019-11-04,28.25552
2019-11-05,28.62407
2019-11-06,31.57248
2019-11-07,31.57248
2019-11-08,40.04914
2019-11-09,58.23095
2019-11-10,37.22358
2019-11-11,31.81818
2019-11-12,30.58968
2019-11-13,27.39557
2019-11-14,35.62653
2019-11-15,40.41769
2019-11-16,61.79361
2019-11-17,30.09828
2019-11-18,31.32678
2019-11-19,26.04422
2019-11-20,31.32678
2019-11-21,30.46683
2019-11-22,43.73464
2019-11-23,58.23095
2019-11-24,35.38083
2019-11-25,28.13267
2019-11-26,26.41277
2019-11-27,29.72972
2019-11-28,37.96068
2019-11-29,36.11793
2019-11-30,54.1769
2019-12-01,30.71253
2019-12-02,26.04422
2019-12-03,24.07862
2019-12-04,26.53562
2019-12-05,30.46683
2019-12-06,37.10073
2019-12-07,48.77149
2019-12-08,41.64619
2019-12-09,31.81818
2019-12-10,28.86977
2019-12-11,31.81818
2019-12-12,40.17199
2019-12-13,50.12285
2019-12-14,66.21621
2019-12-15,48.15724
2019-12-16,30.95823
2019-12-17,33.04668
2019-12-18,39.55773
2019-12-19,42.01474
2019-12-20,44.22604
2019-12-21,57.1253
2019-12-22,62.65356
2019-12-23,51.10565
2019-12-24,81.32678
2019-12-25,76.65847
2019-12-26,48.77149
2019-12-27,56.8796
2019-12-28,69.77886
2019-12-29,46.80589
2019-12-30,41.27764
2019-12-31,49.50859
2020-01-01,35.13513
2020-01-02,37.10073
2020-01-03,40.90909
2020-01-04,59.5823
2020-01-05,42.26044
2020-01-06,27.39557
2020-01-07,28.13267
2020-01-08,25.67567
2020-01-09,36.97788
2020-01-10,42.26044
2020-01-11,46.92874
2020-01-12,43.48894
2020-01-13,31.69533
2020-01-14,41.27764
2020-01-15,32.67813
2020-01-16,39.18918
2020-01-17,43.73464
2020-01-18,58.1081
2020-01-19,47.66584
2020-01-20,36.11793
2020-01-21,30.95823
2020-01-22,29.11547
2020-01-23,28.86977
2020-01-24,34.64373
2020-01-25,30.46683
2020-01-26,40.17199
2020-01-27,27.39557
2020-01-28,21.62162
2020-01-29,20.88452
2020-01-30,28.62407
2020-01-31,31.94103
2020-02-01,36.36363
2020-02-02,28.13267
2020-02-03,24.32432
2020-02-04,24.69287
2020-02-05,24.81572
2020-02-06,27.51842
2020-02-07,25.55282
2020-02-08,44.59459
2020-02-09,55.4054
2020-02-10,34.52088
2020-02-11,33.29238
2020-02-12,30.95823
2020-02-13,38.69778
2020-02-14,51.7199
2020-02-15,65.47911
2020-02-16,42.13759
2020-02-17,37.34643
2020-02-18,41.15479
2020-02-19,32.06388
2020-02-20,40.41769
2020-02-21,36.36363
2020-02-22,44.59459
2020-02-23,32.67813
2020-02-24,16.21621
2020-02-25,11.42506
2020-02-26,20.14742
2020-02-27,21.74447
2020-02-28,20.02457
2020-02-29,32.06388
2020-03-01,23.21867
2020-03-02,17.81326
2020-03-03,22.48157
2020-03-04,20.63882
2020-03-05,29.48402
2020-03-06,27.27272
2020-03-07,45.45454
2020-03-08,44.84029
2020-03-09,30.71253
2020-03-10,29.60687
2020-03-11,29.72972
2020-03-12,33.53808
2020-03-13,30.22113
2020-03-14,51.84275
2020-03-15,39.06633
2020-03-16,23.21867
2020-03-17,26.16707
2020-03-18,31.94103
2020-03-19,26.65847
2020-03-20,32.06388
2020-03-21,38.82063
2020-03-22,35.87223
2020-03-23,25.30712
2020-03-24,30.09828
2020-03-25,24.20147
2020-03-26,22.23587
